Strategy,Future.ID,Fuel,Technology,Emission,Year,Demand,NewCapacity,AccumulatedNewCapacity,TotalCapacityAnnual,TotalTechnologyAnnualActivity,ProductionByTechnology,UseByTechnology,CapitalInvestment,DiscountedCapitalInvestment,SalvageValue,DiscountedSalvageValue,OperatingCost,DiscountedOperatingCost,AnnualVariableOperatingCost,AnnualFixedOperatingCost,TotalDiscountedCostByTechnology,TotalDiscountedCost,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,AnnualTechnologyEmissionsPenalty,DiscountedTechnologyEmissionsPenalty,AnnualEmissions,DistanceDriven,Fleet,NewFleet,ProducedMobility,FilterFuelType,FilterVehicleType,Capex2023,FixedOpex2023,VarOpex2023,Opex2023,Externalities2023,Capex_GDP,FixedOpex_GDP,VarOpex_GDP,Opex_GDP,Externalities_GDP
DDP,295,,INORG_RCY_OS,,2018,,0.00233204,0.00233204,0.059232,0.0568564,,,,,,,,,,,0.121704,,,,0.123378,0.121704,,,,,,,,,,,,,,,,,
DDP,295,,INORG_RCY_OS,,2019,,,0.00233204,0.056332,0.056332,,,,,,,,,,,0.117332,,,,0.122241,0.117332,,,,,,,,,,,,,,,,,
DDP,295,,INORG_RCY_OS,,2020,,0.00291156,0.0052436,0.0564436,0.0564436,,,,,,,,,,,0.114395,,,,0.122483,0.114395,,,,,,,,,,,,,,,,,
DDP,295,,INORG_RCY_OS,,2021,,0.000228714,0.00547231,0.0537723,0.0537723,,,,,,,,,,,0.106044,,,,0.116686,0.106044,,,,,,,,,,,,,,,,,
DDP,295,,INORG_RCY_OS,,2022,,0.0126608,0.0181331,0.0636331,0.0572199,,,,,,,,,,,0.109802,,,,0.124167,0.109802,,,,,,,,,,,,,,,,,
DDP,295,,INORG_RCY_OS,,2023,,,0.0181331,0.0607331,0.0607331,,,,,,,,,,,0.113402,,,,0.131791,0.113402,,,,,,,,,,,,,,,,,
DDP,295,,INORG_RCY_OS,,2024,,0.0813448,0.0994779,0.139278,0.139278,,,,,,,,,,,0.253052,,,,0.302233,0.253052,,,,,,,,,,,,,,,,,
DDP,295,,INORG_RCY_OS,,2025,,0.062647,0.162125,0.199125,0.199125,,,,,,,,,,,0.352037,,,,0.432101,0.352037,,,,,,,,,,,,,,,,,
DDP,295,,INORG_RCY_OS,,2026,,0.123608,0.285733,0.319833,0.25828,,,,,,,,,,,0.444311,,,,0.560468,0.444311,,,,,,,,,,,,,,,,,
DDP,295,,INORG_RCY_OS,,2027,,,0.285733,0.317033,0.317033,,,,,,,,,,,0.530681,,,,0.687962,0.530681,,,,,,,,,,,,,,,,,
DDP,295,,INORG_RCY_OS,,2028,,0.122524,0.408257,0.436657,0.375531,,,,,,,,,,,0.611658,,,,0.814902,0.611658,,,,,,,,,,,,,,,,,
DDP,295,,INORG_RCY_OS,,2029,,,0.408257,0.433857,0.433857,,,,,,,,,,,0.687611,,,,0.941469,0.687611,,,,,,,,,,,,,,,,,
DDP,295,,INORG_RCY_OS,,2030,,0.993853,1.40211,1.42481,0.492062,,,,,,,,,,,0.75884,,,,1.06777,0.75884,,,,,,,,,,,,,,,,,
DDP,295,,INORG_RCY_OS,,2031,,,1.40211,1.42201,0.550178,,,,,,,,,,,0.825596,,,,1.19389,0.825596,,,,,,,,,,,,,,,,,
DDP,295,,INORG_RCY_OS,,2032,,,1.40211,1.41921,0.608228,,,,,,,,,,,0.888104,,,,1.31985,0.888104,,,,,,,,,,,,,,,,,
DDP,295,,INORG_RCY_OS,,2033,,,1.40211,1.41631,0.666226,,,,,,,,,,,0.94657,,,,1.44571,0.94657,,,,,,,,,,,,,,,,,
DDP,295,,INORG_RCY_OS,,2034,,,1.40211,1.41351,0.724184,,,,,,,,,,,1.00118,,,,1.57148,1.00118,,,,,,,,,,,,,,,,,
DDP,295,,INORG_RCY_OS,,2035,,,1.40211,1.41061,0.782109,,,,,,,,,,,1.05212,,,,1.69718,1.05212,,,,,,,,,,,,,,,,,
DDP,295,,INORG_RCY_OS,,2036,,,1.40211,1.40781,0.840007,,,,,,,,,,,1.09955,,,,1.82281,1.09955,,,,,,,,,,,,,,,,,
DDP,295,,INORG_RCY_OS,,2037,,,1.40211,1.40491,0.897883,,,,,,,,,,,1.14363,,,,1.94841,1.14363,,,,,,,,,,,,,,,,,
