Strategy,Future.ID,Fuel,Technology,Emission,Year,Demand,NewCapacity,AccumulatedNewCapacity,TotalCapacityAnnual,TotalTechnologyAnnualActivity,ProductionByTechnology,UseByTechnology,CapitalInvestment,DiscountedCapitalInvestment,SalvageValue,DiscountedSalvageValue,OperatingCost,DiscountedOperatingCost,AnnualVariableOperatingCost,AnnualFixedOperatingCost,TotalDiscountedCostByTechnology,TotalDiscountedCost,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,AnnualTechnologyEmissionsPenalty,DiscountedTechnologyEmissionsPenalty,AnnualEmissions,DistanceDriven,Fleet,NewFleet,ProducedMobility,FilterFuelType,FilterVehicleType,Capex2023,FixedOpex2023,VarOpex2023,Opex2023,Externalities2023,Capex_GDP,FixedOpex_GDP,VarOpex_GDP,Opex_GDP,Externalities_GDP
DDP,860,,INORG_RCY_OS,,2019,,0.476477,0.476477,0.530477,0.056332,,,,,,,,,,,0.117332,,,,0.122241,0.117332,,,,,,,,,,,,,,,,,
DDP,860,,INORG_RCY_OS,,2020,,,0.476477,0.527677,0.0564436,,,,,,,,,,,0.114395,,,,0.122483,0.114395,,,,,,,,,,,,,,,,,
DDP,860,,INORG_RCY_OS,,2021,,,0.476477,0.524777,0.0537723,,,,,,,,,,,0.106044,,,,0.116686,0.106044,,,,,,,,,,,,,,,,,
DDP,860,,INORG_RCY_OS,,2022,,,0.476477,0.521977,0.0572199,,,,,,,,,,,0.109802,,,,0.124167,0.109802,,,,,,,,,,,,,,,,,
DDP,860,,INORG_RCY_OS,,2023,,,0.476477,0.519077,0.0607331,,,,,,,,,,,0.113402,,,,0.131791,0.113402,,,,,,,,,,,,,,,,,
DDP,860,,INORG_RCY_OS,,2024,,,0.476477,0.516277,0.16024,,,,,,,,,,,0.291138,,,,0.34772,0.291138,,,,,,,,,,,,,,,,,
DDP,860,,INORG_RCY_OS,,2025,,,0.476477,0.513477,0.243934,,,,,,,,,,,0.431256,,,,0.529338,0.431256,,,,,,,,,,,,,,,,,
DDP,860,,INORG_RCY_OS,,2026,,,0.476477,0.510577,0.329804,,,,,,,,,,,0.567351,,,,0.715675,0.567351,,,,,,,,,,,,,,,,,
DDP,860,,INORG_RCY_OS,,2027,,,0.476477,0.507777,0.41694,,,,,,,,,,,0.697915,,,,0.904759,0.697915,,,,,,,,,,,,,,,,,
DDP,860,,INORG_RCY_OS,,2028,,,0.476477,0.504877,0.504877,,,,,,,,,,,0.822335,,,,1.09558,0.822335,,,,,,,,,,,,,,,,,
DDP,860,,INORG_RCY_OS,,2029,,0.830014,1.30649,1.33209,0.593354,,,,,,,,,,,0.940396,,,,1.28758,0.940396,,,,,,,,,,,,,,,,,
DDP,860,,INORG_RCY_OS,,2030,,,1.30649,1.32919,0.682212,,,,,,,,,,,1.05208,,,,1.4804,1.05208,,,,,,,,,,,,,,,,,
DDP,860,,INORG_RCY_OS,,2031,,,1.30649,1.32639,0.771348,,,,,,,,,,,1.15748,,,,1.67383,1.15748,,,,,,,,,,,,,,,,,
DDP,860,,INORG_RCY_OS,,2032,,,1.30649,1.32359,0.860694,,,,,,,,,,,1.25674,,,,1.86771,1.25674,,,,,,,,,,,,,,,,,
DDP,860,,INORG_RCY_OS,,2033,,,1.30649,1.32069,0.950203,,,,,,,,,,,1.35004,,,,2.06194,1.35004,,,,,,,,,,,,,,,,,
DDP,860,,INORG_RCY_OS,,2034,,,1.30649,1.31789,1.03984,,,,,,,,,,,1.43758,,,,2.25645,1.43758,,,,,,,,,,,,,,,,,
DDP,860,,INORG_RCY_OS,,2035,,,1.30649,1.31499,1.12958,,,,,,,,,,,1.51955,,,,2.45118,1.51955,,,,,,,,,,,,,,,,,
DDP,860,,INORG_RCY_OS,,2036,,,1.30649,1.31219,1.2194,,,,,,,,,,,1.59617,,,,2.6461,1.59617,,,,,,,,,,,,,,,,,
DDP,860,,INORG_RCY_OS,,2037,,,1.30649,1.30929,1.30929,,,,,,,,,,,1.66764,,,,2.84116,1.66764,,,,,,,,,,,,,,,,,
DDP,860,,INORG_RCY_OS,,2038,,0.0927488,1.39924,1.39924,1.39924,,,,,,,,,,,1.73417,,,,3.03635,1.73417,,,,,,,,,,,,,,,,,
DDP,860,,INORG_RCY_OS,,2039,,0.566474,1.48924,1.48924,1.48924,,,,,,,,,,,1.79596,,,,3.23164,1.79596,,,,,,,,,,,,,,,,,
DDP,860,,INORG_RCY_OS,,2040,,0.180113,1.66935,1.66935,1.57928,,,,,,,,,,,1.85321,,,,3.42703,1.85321,,,,,,,,,,,,,,,,,
