Strategy,Fuel,Fuel.DESCRIPTION,Technology,Technology.DESCRIPTION,Emission,Emission.DESCRIPTION,Year,RateOfDemand,Demand,NumberOfNewTechnologyUnits,NewCapacity,AccumulatedNewCapacity,TotalCapacityAnnual,RateOfActivity,RateOfTotalActivity,TotalTechnologyAnnualActivity,TotalAnnualTechnologyActivityByMode,TotalTechnologyModelPeriodActivity,RateOfProductionByTechnologyByMode,RateOfProductionByTechnology,ProductionByTechnology,ProductionByTechnologyAnnual,RateOfProduction,Production,RateOfUseByTechnologyByMode,RateOfUseByTechnology,UseByTechnologyAnnual,UseByTechnology,UseAnnual,CapitalInvestment,DiscountedCapitalInvestment,SalvageValue,DiscountedSalvageValue,OperatingCost,DiscountedOperatingCost,AnnualVariableOperatingCost,AnnualFixedOperatingCost,TotalDiscountedCostByTechnology,TotalDiscountedCost,TotalCapacityInReserveMargin,DemandNeedingReserveMargin,TotalREProductionAnnual,RETotalProductionOfTargetFuelAnnual,AnnualTechnologyEmissionByMode,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,AnnualTechnologyEmissionsPenalty,DiscountedTechnologyEmissionsPenalty,AnnualEmissions,ModelPeriodEmissions
PA,,,Bosque,,,,2047,,,,11.4753,11.4753,11.4753,11.4753,11.4753,11.4753,11.4753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,Bosque,,,,2048,,,,11.4451,11.4451,11.4451,11.4451,11.4451,11.4451,11.4451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,Bosque,,,,2049,,,,11.4154,11.4154,11.4154,11.4154,11.4154,11.4154,11.4154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,Bosque,,,,2050,,,,11.3863,11.3863,11.3863,11.3863,11.3863,11.3863,11.3863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,Bosque,,,,2051,,,,11.3577,11.3577,11.3577,11.3577,11.3577,11.3577,11.3577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,Bosque,,,,2052,,,,11.3295,11.3295,11.3295,11.3295,11.3295,11.3295,11.3295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,Bosque,,,,2053,,,,11.302,11.302,11.302,11.302,11.302,11.302,11.302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,Bosque,,,,2054,,,,11.2749,11.2749,11.2749,11.2749,11.2749,11.2749,11.2749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,Bosque,,,,2055,,,,11.2483,11.2483,11.2483,11.2483,11.2483,11.2483,11.2483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,Bosque,,,,2056,,,,11.2223,11.2223,11.2223,11.2223,11.2223,11.2223,11.2223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,Bosque,,,,2057,,,,11.1967,11.1967,11.1967,11.1967,11.1967,11.1967,11.1967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,Bosque,,,,2058,,,,11.1716,11.1716,11.1716,11.1716,11.1716,11.1716,11.1716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,Bosque,,,,2059,,,,11.1471,11.1471,11.1471,11.1471,11.1471,11.1471,11.1471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,Bosque,,,,2060,,,,11.123,11.123,11.123,11.123,11.123,11.123,11.123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,Bosque,,,,2061,,,,11.0994,11.0994,11.0994,11.0994,11.0994,11.0994,11.0994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,Bosque,,,,2062,,,,11.0763,11.0763,11.0763,11.0763,11.0763,11.0763,11.0763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,Bosque,,,,2063,,,,11.0536,11.0536,11.0536,11.0536,11.0536,11.0536,11.0536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,Bosque,,,,2064,,,,11.0315,11.0315,11.0315,11.0315,11.0315,11.0315,11.0315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,Bosque,,,,2065,,,,11.0098,11.0098,11.0098,11.0098,11.0098,11.0098,11.0098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,Bosque,,,,2066,,,,10.9885,10.9885,10.9885,10.9885,10.9885,10.9885,10.9885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,Bosque,,,,2067,,,,10.9678,10.9678,10.9678,10.9678,10.9678,10.9678,10.9678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,Bosque,,,,2068,,,,10.9475,10.9475,10.9475,10.9475,10.9475,10.9475,10.9475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,Bosque,,,,2069,,,,10.9276,10.9276,10.9276,10.9276,10.9276,10.9276,10.9276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,Bosque,,,,2070,,,,10.9082,10.9082,10.9082,10.9082,10.9082,10.9082,10.9082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,Tierra_agropecuaria,,,,2018,,,,8.99955,8.99955,8.99955,8.99955,8.99955,8.99955,8.99955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,Tierra_agropecuaria,,,,2019,,,,9.0419,9.0419,9.0419,9.0419,9.0419,9.0419,9.0419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,Tierra_agropecuaria,,,,2020,,,,9.09476,9.09476,9.09476,9.09476,9.09476,9.09476,9.09476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,Tierra_agropecuaria,,,,2021,,,,9.16038,9.16038,9.16038,9.16038,9.16038,9.16038,9.16038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,Tierra_agropecuaria,,,,2022,,,,9.25113,9.25113,9.25113,9.25113,9.25113,9.25113,9.25113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,Tierra_agropecuaria,,,,2023,,,,9.30082,9.30082,9.30082,9.30082,9.30082,9.30082,9.30082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,Tierra_agropecuaria,,,,2024,,,,9.34843,9.34843,9.34843,9.34843,9.34843,9.34843,9.34843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,Tierra_agropecuaria,,,,2025,,,,9.39538,9.39538,9.39538,9.39538,9.39538,9.39538,9.39538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,Tierra_agropecuaria,,,,2026,,,,9.44168,9.44168,9.44168,9.44168,9.44168,9.44168,9.44168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,Tierra_agropecuaria,,,,2027,,,,9.48735,9.48735,9.48735,9.48735,9.48735,9.48735,9.48735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,Tierra_agropecuaria,,,,2028,,,,9.53238,9.53238,9.53238,9.53238,9.53238,9.53238,9.53238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,Tierra_agropecuaria,,,,2029,,,,9.57679,9.57679,9.57679,9.57679,9.57679,9.57679,9.57679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,Tierra_agropecuaria,,,,2030,,,,9.6206,9.6206,9.6206,9.6206,9.6206,9.6206,9.6206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,Tierra_agropecuaria,,,,2031,,,,9.66379,9.66379,9.66379,9.66379,9.66379,9.66379,9.66379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,Tierra_agropecuaria,,,,2032,,,,9.70639,9.70639,9.70639,9.70639,9.70639,9.70639,9.70639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
